1,acid reflux disease
2,acute bacterial sinusitis
3,allergic reaction to poison ivy/oak/sumac
4,benign skin growth
5,bronchiectasis
6,bronchitis
7,chronic allergies
8,chronic bronchitis
9,chronic hepatitis c
10,chronic sinusitis
11,common cold
12,hand-foot-and-mouth disease
13,hives
14,irritant contact dermatitis
15,middle ear infection
16,mononucleosis infection
17,non-allergic rhinitis
18,non-specific dermatitis (skin inflammation)
19,normal congestion and runny nose
20,perianal skin infection
21,seasonal allergies
22,seborrheic dermatitis
23,shingles (herpes zoster)
24,strep throat
25,sunburn
26,viral infection of the larynx (voice box)
27,viral throat infection
